"response","var","time","level","predicted.value","standard.error","est.status"
"glucose","AGEcat",117.0000000003,"(10,15]",136.059094734908,4.09547979167398,"Estimable"
"glucose","AGEcat",117.0000000003,"(15,30]",122.91461657518,3.60409828228215,"Estimable"
"glucose","AGEcat",120,"(0,5]",116.263761585435,1.79910504269409,"Estimable"
"glucose","AGEcat",120,"(5,10]",128.469369379551,3.68388561280129,"Estimable"
"glucose","AGEcat",120,"(10,15]",135.688464141965,4.09277225932395,"Estimable"
"glucose","AGEcat",120,"(15,30]",122.414251177897,3.59629874251353,"Estimable"
"glucose","AGEcat",129.0000000001,"(0,5]",114.287622824614,1.82605773677198,"Estimable"
"glucose","AGEcat",129.0000000001,"(5,10]",125.178135935308,3.68751403347681,"Estimable"
"glucose","AGEcat",129.0000000001,"(10,15]",134.100194654101,4.11024436333228,"Estimable"
"glucose","AGEcat",129.0000000001,"(15,30]",120.477587777873,3.59209547786775,"Estimable"
"glucose","AGEcat",138.0000000002,"(0,5]",111.684685213052,1.88854027817168,"Estimable"
"glucose","AGEcat",138.0000000002,"(5,10]",120.950066190378,3.74813994795153,"Estimable"
"glucose","AGEcat",138.0000000002,"(10,15]",131.797358602852,4.1947407414307,"Estimable"
"glucose","AGEcat",138.0000000002,"(15,30]",117.887573565821,3.64208797924675,"Estimable"
"glucose","AGEcat",147.0000000003,"(0,5]",108.454948750748,2.00294075596871,"Estimable"
"glucose","AGEcat",147.0000000003,"(5,10]",115.785160144762,3.90178391603878,"Estimable"
"glucose","AGEcat",147.0000000003,"(10,15]",128.779955988218,4.38559051526372,"Estimable"
"glucose","AGEcat",147.0000000003,"(15,30]",114.64420854174,3.78228376412863,"Estimable"
"glucose","AGEcat",150,"(0,5]",107.239081296621,2.05508260857392,"Estimable"
"glucose","AGEcat",150,"(5,10]",113.855338951846,3.97964439476241,"Estimable"
"glucose","AGEcat",150,"(10,15]",127.615362547166,4.47923250249297,"Estimable"
"glucose","AGEcat",150,"(15,30]",113.417897797847,3.8551128679287,"Estimable"
"glucose","AGEcat",159.0000000001,"(0,5]",103.173613033351,2.2587584562325,"Estimable"
"glucose","AGEcat",159.0000000001,"(5,10]",107.441317838682,4.30736279541659,"Estimable"
"glucose","AGEcat",159.0000000001,"(10,15]",123.645204514712,4.86506516948628,"Estimable"
"glucose","AGEcat",159.0000000001,"(15,30]",109.303398357752,4.16646006356253,"Estimable"
"glucose","AGEcat",168.0000000002,"(0,5]",98.4813459193393,2.53729265386938,"Estimable"
"glucose","AGEcat",168.0000000002,"(5,10]",100.090460424831,4.78909328947248,"Estimable"
"glucose","AGEcat",168.0000000002,"(10,15]",118.960479918873,5.42123419533757,"Estimable"
"glucose","AGEcat",168.0000000002,"(15,30]",104.535548105628,4.63040445969861,"Estimable"
"glucose","AGEcat",177.0000000003,"(0,5]",93.1622799545859,2.89163066623211,"Estimable"
"glucose","AGEcat",177.0000000003,"(5,10]",91.8027667102932,5.43049781843776,"Estimable"
"glucose","AGEcat",177.0000000003,"(10,15]",113.56118875965,6.15305817613954,"Estimable"
"glucose","AGEcat",177.0000000003,"(15,30]",99.114347041476,5.25296598680576,"Estimable"
"glucose","AGEcat",180,"(0,5]",91.2499693330529,3.02624949265408,"Estimable"
"glucose","AGEcat",180,"(5,10]",88.8320162945194,5.679312897851,"Estimable"
"glucose","AGEcat",180,"(10,15]",111.602632470489,6.43546340387873,"Estimable"
"glucose","AGEcat",180,"(15,30]",97.1620909509732,5.49527581534465,"Estimable"
"glucose","Breed",0,"A",83.7425956458917,3.3395629331241,"Estimable"
"glucose","Breed",0,"M",85.4431169221206,3.49283482198495,"Estimable"
"glucose","Breed",0,"QH",82.7184890811043,3.2159354881838,"Estimable"
"glucose","Breed",0,"T",92.2449466639404,6.210179097836,"Estimable"
"glucose","Breed",0,"WP ",88.4932967571208,5.11382876114196,"Estimable"
"glucose","Breed",9.0000000001,"A",90.4225323541614,2.91011978465417,"Estimable"
"glucose","Breed",9.0000000001,"M",94.3497597757139,3.03635173536725,"Estimable"
"glucose","Breed",9.0000000001,"QH",86.8796571877163,2.80267556168575,"Estimable"
"glucose","Breed",9.0000000001,"T",99.5360385796194,5.4156906358982,"Estimable"
"glucose","Breed",9.0000000001,"WP ",97.7728085902838,4.46818034324077,"Estimable"
"glucose","Breed",15,"A",94.48214952089,2.67868604948651,"Estimable"
"glucose","Breed",15,"M",99.7865491480873,2.79073708877966,"Estimable"
"glucose","Breed",15,"QH",89.4480885256563,2.57989730592075,"Estimable"
"glucose","Breed",15,"T",104.087555413025,4.98736509490596,"Estimable"
"glucose","Breed",15,"WP ",103.441158081483,4.11996011582737,"Estimable"
"glucose","Breed",24.0000000001,"A",99.9810643131442,2.41495077946157,"Estimable"
"glucose","Breed",24.0000000001,"M",107.190274412067,2.51151941425032,"Estimable"
"glucose","Breed",24.0000000001,"QH",92.9922144330781,2.32588230206532,"Estimable"
"glucose","Breed",24.0000000001,"T",110.451013997942,4.49879400778358,"Estimable"
"glucose","Breed",24.0000000001,"WP ",111.166694722389,3.7221385783764,"Estimable"
"glucose","Breed",30,"A",103.253333535884,2.29275410118296,"Estimable"
"glucose","Breed",30,"M",111.625118724726,2.38266141612849,"Estimable"
"glucose","Breed",30,"QH",95.1492843049026,2.20806422174175,"Estimable"
"glucose","Breed",30,"T",114.384108610857,4.27196939966538,"Estimable"
"glucose","Breed",30,"WP ",115.799060752112,3.53674289980512,"Estimable"
"glucose","Breed",39.0000000001,"A",107.571226412123,2.18068292593176,"Estimable"
"glucose","Breed",39.0000000001,"M",117.525926399093,2.26528933534422,"Estimable"
"glucose","Breed",39.0000000001,"QH",98.0763680131342,2.0997807771991,"Estimable"
"glucose","Breed",39.0000000001,"T",119.819933865012,4.06306568469737,"Estimable"
"glucose","Breed",39.0000000001,"WP ",121.970622200761,3.36452191009065,"Estimable"
"glucose","Breed",48.0000000002,"A",111.180506138745,2.13628082394899,"Estimable"
